"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 17:46:45 GMT 2024","Thu Jun 20 17:46:46 GMT 2024","1881","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Invalid email format",""
"failed","Thu Jun 20 17:45:25 GMT 2024","Thu Jun 20 17:45:47 GMT 2024","22847","","Web App different activity items tests","",".Web_App_different_activity_items_tests","","before all hook for Web App different activity items tests",""
"failed","Thu Jun 20 17:46:57 GMT 2024","Thu Jun 20 17:47:04 GMT 2024","7487","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Passwords Do Not Match",""
"failed","Thu Jun 20 17:44:48 GMT 2024","Thu Jun 20 17:45:12 GMT 2024","24264","","Activity availability depending on Event type tests","",".Activity_availability_depending_on_Event_type_tests","","before all hook for Activity availability depending on Event type tests",""
"failed","Thu Jun 20 17:44:06 GMT 2024","Thu Jun 20 17:44:33 GMT 2024","27596","","Web App Activity Flows tests","",".Web_App_Activity_Flows_tests","","before all hook for Web App Activity Flows tests",""
"failed","Thu Jun 20 17:46:57 GMT 2024","Thu Jun 20 17:47:04 GMT 2024","7304","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password must be at least 6 characters",""
"passed","Thu Jun 20 17:47:29 GMT 2024","Thu Jun 20 17:47:41 GMT 2024","12109","","Negative Login tests","",".Web_App_login_and_registration_tests.Negative_Login_tests","","Incorrect email or password",""
"failed","Thu Jun 20 17:46:33 GMT 2024","Thu Jun 20 17:46:49 GMT 2024","16102","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive Login test",""
"failed","Thu Jun 20 17:45:48 GMT 2024","Thu Jun 20 17:46:08 GMT 2024","20635","","Items Flow tests chained and other conditions","",".Items_Flow_tests_(chained_and_other_conditions)","","before all hook for Items Flow tests chained and other conditions",""
"passed","Thu Jun 20 17:46:33 GMT 2024","Thu Jun 20 17:46:40 GMT 2024","7012","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Logout test",""
"failed","Thu Jun 20 17:44:48 GMT 2024","Thu Jun 20 17:45:08 GMT 2024","20073","","Web App change password tests","",".Web_App_change_password_tests","","before each hook for Web App change password tests",""
"failed","Thu Jun 20 17:44:48 GMT 2024","Thu Jun 20 17:45:12 GMT 2024","24068","","Alerts tests","",".Alerts_tests","","before all hook for Alerts tests",""
"skipped","Thu Jun 20 17:46:36 GMT 2024","Thu Jun 20 17:46:36 GMT 2024","0","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","Set typical 6 char new password",""
"failed","Thu Jun 20 17:45:25 GMT 2024","Thu Jun 20 17:45:47 GMT 2024","22926","","Items settings tests","",".Items_settings_tests","","before all hook for Items settings tests",""
"failed","Thu Jun 20 17:46:17 GMT 2024","Thu Jun 20 17:46:38 GMT 2024","21503","","Items Flow tests value conditions","",".Items_Flow_tests_(value_conditions)","","before all hook for Items Flow tests value conditions",""
"failed","Thu Jun 20 17:46:57 GMT 2024","Thu Jun 20 17:47:04 GMT 2024","7477","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password should not contain spaces",""
"failed","Thu Jun 20 17:44:06 GMT 2024","Thu Jun 20 17:44:33 GMT 2024","27345","","Activity Flows availability depending on Event type tests","",".Activity_Flows_availability_depending_on_Event_type_tests","","before all hook for Activity Flows availability depending on Event type tests",""
"failed","Thu Jun 20 17:44:06 GMT 2024","Thu Jun 20 17:44:33 GMT 2024","27411","","Activity settings and actions tests","",".Activity_settings_and_actions_tests","","before all hook for Activity settings and actions tests",""
"failed","Thu Jun 20 17:46:33 GMT 2024","Thu Jun 20 17:46:50 GMT 2024","17247","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Negative registration test user already exist",""
"passed","Thu Jun 20 17:46:33 GMT 2024","Thu Jun 20 17:46:46 GMT 2024","13654","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive registration test",""
"skipped","Thu Jun 20 17:44:48 GMT 2024","Thu Jun 20 17:44:48 GMT 2024","0","","Web App change password tests","",".Web_App_change_password_tests","","User is able to change password and login in Web App with a new one",""
"failed","Thu Jun 20 17:46:45 GMT 2024","Thu Jun 20 17:46:54 GMT 2024","9493","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Non existing user email",""
"failed","Thu Jun 20 17:46:00 GMT 2024","Thu Jun 20 17:46:22 GMT 2024","22997","","Items Flow tests option conditions","",".Items_Flow_tests_(option_conditions)","","before all hook for Items Flow tests option conditions",""
"failed","Thu Jun 20 17:46:36 GMT 2024","Thu Jun 20 17:46:44 GMT 2024","8622","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","before each hook for User is able to reset password and login in Web App with a new one",""
