"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 21 14:33:08 GMT 2024","Fri Jun 21 14:33:16 GMT 2024","8577","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","before each hook for User is able to reset password and login in Web App with a new one",""
"failed","Fri Jun 21 14:31:24 GMT 2024","Fri Jun 21 14:31:41 GMT 2024","17866","","Web App change password tests","",".Web_App_change_password_tests","","before each hook for Web App change password tests",""
"failed","Fri Jun 21 14:33:06 GMT 2024","Fri Jun 21 14:33:23 GMT 2024","17052","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Negative registration test user already exist",""
"failed","Fri Jun 21 14:30:44 GMT 2024","Fri Jun 21 14:31:10 GMT 2024","26358","","Activity settings and actions tests","",".Activity_settings_and_actions_tests","","before all hook for Activity settings and actions tests",""
"failed","Fri Jun 21 14:33:28 GMT 2024","Fri Jun 21 14:33:34 GMT 2024","6597","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password must be at least 6 characters",""
"failed","Fri Jun 21 14:31:59 GMT 2024","Fri Jun 21 14:32:21 GMT 2024","22446","","Items settings tests","",".Items_settings_tests","","before all hook for Items settings tests",""
"passed","Fri Jun 21 14:33:59 GMT 2024","Fri Jun 21 14:34:10 GMT 2024","11973","","Negative Login tests","",".Web_App_login_and_registration_tests.Negative_Login_tests","","Incorrect email or password",""
"passed","Fri Jun 21 14:33:06 GMT 2024","Fri Jun 21 14:33:18 GMT 2024","12014","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive registration test",""
"failed","Fri Jun 21 14:30:44 GMT 2024","Fri Jun 21 14:31:10 GMT 2024","26724","","Web App Activity Flows tests","",".Web_App_Activity_Flows_tests","","before all hook for Web App Activity Flows tests",""
"failed","Fri Jun 21 14:32:18 GMT 2024","Fri Jun 21 14:32:37 GMT 2024","19339","","Items Flow tests chained and other conditions","",".Items_Flow_tests_(chained_and_other_conditions)","","before all hook for Items Flow tests chained and other conditions",""
"failed","Fri Jun 21 14:32:33 GMT 2024","Fri Jun 21 14:32:54 GMT 2024","21641","","Items Flow tests option conditions","",".Items_Flow_tests_(option_conditions)","","before all hook for Items Flow tests option conditions",""
"failed","Fri Jun 21 14:30:44 GMT 2024","Fri Jun 21 14:31:10 GMT 2024","26480","","Activity Flows availability depending on Event type tests","",".Activity_Flows_availability_depending_on_Event_type_tests","","before all hook for Activity Flows availability depending on Event type tests",""
"failed","Fri Jun 21 14:31:24 GMT 2024","Fri Jun 21 14:31:47 GMT 2024","23554","","Alerts tests","",".Alerts_tests","","before all hook for Alerts tests",""
"failed","Fri Jun 21 14:31:24 GMT 2024","Fri Jun 21 14:31:47 GMT 2024","23679","","Activity availability depending on Event type tests","",".Activity_availability_depending_on_Event_type_tests","","before all hook for Activity availability depending on Event type tests",""
"skipped","Fri Jun 21 14:31:24 GMT 2024","Fri Jun 21 14:31:24 GMT 2024","0","","Web App change password tests","",".Web_App_change_password_tests","","User is able to change password and login in Web App with a new one",""
"failed","Fri Jun 21 14:33:18 GMT 2024","Fri Jun 21 14:33:27 GMT 2024","9046","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Non existing user email",""
"failed","Fri Jun 21 14:33:28 GMT 2024","Fri Jun 21 14:33:34 GMT 2024","6646","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Passwords Do Not Match",""
"passed","Fri Jun 21 14:33:18 GMT 2024","Fri Jun 21 14:33:19 GMT 2024","1365","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Invalid email format",""
"skipped","Fri Jun 21 14:33:08 GMT 2024","Fri Jun 21 14:33:08 GMT 2024","0","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","Set typical 6 char new password",""
"passed","Fri Jun 21 14:33:06 GMT 2024","Fri Jun 21 14:33:12 GMT 2024","6059","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Logout test",""
"failed","Fri Jun 21 14:33:06 GMT 2024","Fri Jun 21 14:33:21 GMT 2024","15570","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive Login test",""
"failed","Fri Jun 21 14:32:47 GMT 2024","Fri Jun 21 14:33:05 GMT 2024","18609","","Items Flow tests value conditions","",".Items_Flow_tests_(value_conditions)","","before all hook for Items Flow tests value conditions",""
"failed","Fri Jun 21 14:33:28 GMT 2024","Fri Jun 21 14:33:34 GMT 2024","6559","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password should not contain spaces",""
"failed","Fri Jun 21 14:31:59 GMT 2024","Fri Jun 21 14:32:21 GMT 2024","22503","","Web App different activity items tests","",".Web_App_different_activity_items_tests","","before all hook for Web App different activity items tests",""
