"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 13:28:02 GMT 2024","Mon Jun 24 13:28:03 GMT 2024","1522","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Invalid email format",""
"failed","Mon Jun 24 13:27:33 GMT 2024","Mon Jun 24 13:27:52 GMT 2024","19143","","Items Flow tests value conditions","",".Items_Flow_tests_(value_conditions)","","before all hook for Items Flow tests value conditions",""
"failed","Mon Jun 24 13:28:02 GMT 2024","Mon Jun 24 13:28:11 GMT 2024","9228","","User is not able to reset non registered invalid email address","",".Web_App_reset_password_tests.User_is_not_able_to_reset_non-registered_&_invalid_email_address","","Non existing user email",""
"failed","Mon Jun 24 13:25:26 GMT 2024","Mon Jun 24 13:25:52 GMT 2024","26013","","Activity settings and actions tests","",".Activity_settings_and_actions_tests","","before all hook for Activity settings and actions tests",""
"failed","Mon Jun 24 13:28:13 GMT 2024","Mon Jun 24 13:28:19 GMT 2024","6764","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password must be at least 6 characters",""
"failed","Mon Jun 24 13:26:06 GMT 2024","Mon Jun 24 13:26:24 GMT 2024","18975","","Web App change password tests","",".Web_App_change_password_tests","","before each hook for Web App change password tests",""
"passed","Mon Jun 24 13:27:50 GMT 2024","Mon Jun 24 13:28:02 GMT 2024","12306","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive registration test",""
"failed","Mon Jun 24 13:27:16 GMT 2024","Mon Jun 24 13:27:40 GMT 2024","24278","","Items Flow tests option conditions","",".Items_Flow_tests_(option_conditions)","","before all hook for Items Flow tests option conditions",""
"passed","Mon Jun 24 13:28:43 GMT 2024","Mon Jun 24 13:28:54 GMT 2024","11476","","Negative Login tests","",".Web_App_login_and_registration_tests.Negative_Login_tests","","Incorrect email or password",""
"failed","Mon Jun 24 13:28:13 GMT 2024","Mon Jun 24 13:28:19 GMT 2024","6896","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Passwords Do Not Match",""
"skipped","Mon Jun 24 13:26:06 GMT 2024","Mon Jun 24 13:26:06 GMT 2024","0","","Web App change password tests","",".Web_App_change_password_tests","","User is able to change password and login in Web App with a new one",""
"failed","Mon Jun 24 13:25:26 GMT 2024","Mon Jun 24 13:25:52 GMT 2024","26165","","Activity Flows availability depending on Event type tests","",".Activity_Flows_availability_depending_on_Event_type_tests","","before all hook for Activity Flows availability depending on Event type tests",""
"failed","Mon Jun 24 13:28:13 GMT 2024","Mon Jun 24 13:28:19 GMT 2024","6757","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password should not contain spaces",""
"failed","Mon Jun 24 13:27:53 GMT 2024","Mon Jun 24 13:28:01 GMT 2024","8655","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","before each hook for User is able to reset password and login in Web App with a new one",""
"failed","Mon Jun 24 13:27:50 GMT 2024","Mon Jun 24 13:28:05 GMT 2024","15681","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Positive Login test",""
"failed","Mon Jun 24 13:27:03 GMT 2024","Mon Jun 24 13:27:23 GMT 2024","20536","","Items Flow tests chained and other conditions","",".Items_Flow_tests_(chained_and_other_conditions)","","before all hook for Items Flow tests chained and other conditions",""
"skipped","Mon Jun 24 13:27:53 GMT 2024","Mon Jun 24 13:27:53 GMT 2024","0","","User is able to reset password and login in Web App with a new one","",".Web_App_reset_password_tests.User_is_able_to_reset_password_and_login_in_Web_App_with_a_new_one","","Set typical 6 char new password",""
"failed","Mon Jun 24 13:26:05 GMT 2024","Mon Jun 24 13:26:28 GMT 2024","23476","","Activity availability depending on Event type tests","",".Activity_availability_depending_on_Event_type_tests","","before all hook for Activity availability depending on Event type tests",""
"failed","Mon Jun 24 13:26:40 GMT 2024","Mon Jun 24 13:27:02 GMT 2024","22569","","Items settings tests","",".Items_settings_tests","","before all hook for Items settings tests",""
"failed","Mon Jun 24 13:27:50 GMT 2024","Mon Jun 24 13:28:07 GMT 2024","17250","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Negative registration test user already exist",""
"failed","Mon Jun 24 13:25:25 GMT 2024","Mon Jun 24 13:25:52 GMT 2024","27070","","Web App Activity Flows tests","",".Web_App_Activity_Flows_tests","","before all hook for Web App Activity Flows tests",""
"failed","Mon Jun 24 13:26:07 GMT 2024","Mon Jun 24 13:26:29 GMT 2024","22660","","Alerts tests","",".Alerts_tests","","before all hook for Alerts tests",""
"failed","Mon Jun 24 13:26:41 GMT 2024","Mon Jun 24 13:27:02 GMT 2024","21688","","Web App different activity items tests","",".Web_App_different_activity_items_tests","","before all hook for Web App different activity items tests",""
"passed","Mon Jun 24 13:27:50 GMT 2024","Mon Jun 24 13:27:56 GMT 2024","6295","","Web App login and registration tests","",".Web_App_login_and_registration_tests","","Logout test",""
