"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 18:19:04 GMT 2024","Thu Jun 27 18:19:12 GMT 2024","8828","","Case 4 reviewer dashboard assessment activity added","",".Activity_settings_and_actions_tests.Case_4:_reviewer_dashboard_assessment_activity_added","","Verify reviewer dashboard assessment activity should not be available for respondents",""
"failed","Thu Jun 27 18:31:55 GMT 2024","Thu Jun 27 18:32:25 GMT 2024","30975","","Case 2 Web 2 5 items message date time audio player","",".Web_App_different_activity_items_tests.Case_2:_Web_2.5_items_(message,_date,_time,_audio-player)","","before each hook for Case 2 Web 2 5 items message date time audio player",""
"skipped","Thu Jun 27 18:31:55 GMT 2024","Thu Jun 27 18:31:55 GMT 2024","0","","Case 2 Web 2 5 items message date time audio player","",".Web_App_different_activity_items_tests.Case_2:_Web_2.5_items_(message,_date,_time,_audio-player)","","Complete activity with date time and message items",""
"failed","Thu Jun 27 18:18:32 GMT 2024","Thu Jun 27 18:19:05 GMT 2024","33072","","Activity availability depending on Event type tests","",".Activity_availability_depending_on_Event_type_tests","","Activity is always available every day until its completed one time completion",""
"failed","Thu Jun 27 18:21:11 GMT 2024","Thu Jun 27 18:21:43 GMT 2024","32558","","Scheduled access to activity flows Selected start date current date","",".Activity_Flows_availability_depending_on_Event_type_tests.Scheduled_access_to_activity_flows._Selected_&_start_date_=_current_date","","Periodicity type WEEKDAYS Selected start date current date Start time current time End time current time Activity Flow is available",""
"failed","Thu Jun 27 18:25:13 GMT 2024","Thu Jun 27 18:25:45 GMT 2024","32238","","Case 2 add splash screen images descriptions color palette tooltips","",".Items_settings_tests.Case_2:_add_splash_screen,_images,_descriptions,_color_palette,_tooltips","","Verify all images descriptions and items content is displayed correctly while completing activity",""
"failed","Thu Jun 27 18:22:34 GMT 2024","Thu Jun 27 18:23:07 GMT 2024","33243","","Scheduled access to activities Selected start date current date","",".Activity_availability_depending_on_Event_type_tests.Scheduled_access_to_activities._Selected_&_start_date_=_current_date","","Periodicity type WEEKDAYS Selected start date current date Start time current time End time current time Activity is available",""
"failed","Thu Jun 27 18:29:10 GMT 2024","Thu Jun 27 18:29:42 GMT 2024","32390","","Cross day activity events availability","",".Activity_availability_depending_on_Event_type_tests.Cross-day_activity_events_availability","","Cross day Event with ONCE periodicity type and availability range from now 10 mins to 12h and Access before schedule true Activity is available",""
"failed","Thu Jun 27 18:22:50 GMT 2024","Thu Jun 27 18:23:22 GMT 2024","32019","","Trigger some alerts during completing the activity","",".Alerts_tests.Trigger_some_alerts_during_completing_the_activity","","Login as respondent and complete activity",""
"failed","Thu Jun 27 18:22:34 GMT 2024","Thu Jun 27 18:23:06 GMT 2024","32359","","Scheduled access to activities Selected start date current date","",".Activity_availability_depending_on_Event_type_tests.Scheduled_access_to_activities._Selected_&_start_date_=_current_date","","Periodicity type MONTHLY Selected start date current date Start time current time End time current time Activity is available",""
"failed","Thu Jun 27 18:27:49 GMT 2024","Thu Jun 27 18:28:21 GMT 2024","32472","","cross day events activity flows availability","",".Activity_Flows_availability_depending_on_Event_type_tests.cross-day_events_activity_flows_availability","","Cross day Event with DAILY periodicity type and availability range from now 10 mins to 12h Activity flow is NOT available",""
"skipped","Thu Jun 27 18:32:26 GMT 2024","Thu Jun 27 18:32:26 GMT 2024","0","","Case 3 Matrix items","",".Web_App_different_activity_items_tests.Case_3:_Matrix_items","","Complete activity with matrix items",""
"failed","Thu Jun 27 18:37:01 GMT 2024","Thu Jun 27 18:37:08 GMT 2024","7454","","Setting new password negative tests","",".Web_App_reset_password_tests.Setting_new_password_negative_tests","","Password should not contain spaces",""
